Date;Volume;Adj Close;100ma;symbol;City
2016-12-19 00:00:00.000;1084200;45,298838;45,82787418;A;santa clara
2016-12-20 00:00:00.000;1552400;46,076585;45,81011772;A;santa clara
2016-12-21 00:00:00.000;1652300;45,907077;45,79305334;A;santa clara
2016-12-22 00:00:00.000;968300;45,83728;45,782154;A;santa clara
2016-12-23 00:00:00.000;727700;46,066615;45,77444319;A;santa clara
2016-12-27 00:00:00.000;1535500;46,375718;45,77240947;A;santa clara
2016-12-28 00:00:00.000;1177300;45,588002;45,75593395;A;santa clara
2016-12-29 00:00:00.000;891000;45,639999;45,74256449;A;santa clara
2016-12-30 00:00:00.000;1216100;45,560001;45,72620683;A;santa clara
2017-01-03 00:00:00.000;1739600;46,490002;46,490002;A;santa clara
2017-01-04 00:00:00.000;1821300;47,099998;46,795;A;santa clara
2017-01-05 00:00:00.000;1503700;46,540001;46,71000033;A;santa clara
2017-01-06 00:00:00.000;2883400;47,990002;47,03000075;A;santa clara
2017-01-09 00:00:00.000;2575300;48,139999;47,2520004;A;santa clara
2017-01-10 00:00:00.000;1560500;48,099998;47,39333333;A;santa clara
2017-01-11 00:00:00.000;5624300;49,25;47,65857143;A;santa clara
2017-01-12 00:00:00.000;3276900;48,52;47,76625;A;santa clara
2017-01-13 00:00:00.000;1568500;48,689999;47,86888878;A;santa clara
2017-01-17 00:00:00.000;1938800;48,32;47,9139999;A;santa clara
2017-01-18 00:00:00.000;1523500;48,25;47,94454536;A;santa clara
2017-01-19 00:00:00.000;1346100;47,639999;47,9191665;A;santa clara
2017-01-20 00:00:00.000;1701700;47,619999;47,89615362;A;santa clara
2017-01-23 00:00:00.000;2013900;47,389999;47,85999971;A;santa clara
2017-01-24 00:00:00.000;2741900;47,349998;47,8259996;A;santa clara
2017-01-25 00:00:00.000;3073200;48,41;47,86249963;A;santa clara
2017-01-26 00:00:00.000;1895400;48,169998;47,88058776;A;santa clara
