symbol;Latitude;Longitude
HBI;36,09972382;-80,2444458
HCA;36,16583252;-86,78444672
HCN;41,66388702;-83,55527496
HCP;33,76694489;-118,1883316
HD;33,74888992;-84,38805389
HES;40,71416855;-74,0063858
HIG;41,76361084;-72,6855545
HOG;43,03888702;-87,90638733
HP;36,1538887;-95,99250031
HPE;37,44194412;-122,1419449
HPQ;37,44194412;-122,1419449
HRB;39,09972382;-94,57833099
HRB;39,11416626;-94,62722015
HRL;30,26694489;-97,74277496
HRS;28,08333397;-80,60832977
HST;38,98055649;-77,10055542
HUM;38,25416565;-85,75944519
ICE;33,74888992;-84,38805389
IFF;40,71416855;-74,0063858
ILMN;32,71527863;-117,1563873
INTC;37,35416794;-121,9541702
INTU;37,38611221;-122,0827789
IP;35,14944458;-90,04888916
IPG;40,71416855;-74,0063858
IR;53,3330574;-6,248888969
IRM;42,35833359;-71,06027985
ISRG;37,36888885;-122,0352783
IVZ;33,74888992;-84,38805389
JBHT;42,63333511;-71,31666565
JCI;51,89861298;-8,495833397
JEC;34,14777756;-118,1436081
JEC;29,69083405;-95,20888519
JNJ;40,48611069;-74,45222473
JNPR;37,36888885;-122,0352783
JPM;40,71416855;-74,0063858
JWN;47,60638809;-122,3308334
K;42,32110977;-85,17972565
KEY;41,49944305;-81,69555664
KHC;40,44055557;-79,99610901
KLAC;37,42833328;-121,9055557
KMB;32,81388855;-96,9486084
KMI;29,7630558;-95,36305237
KMX;37,55361176;-77,46055603
KMX;37,93583298;-122,3466644
KO;33,74888992;-84,38805389
KORS;40,71416855;-74,0063858
KR;39,16194534;-84,45694733
KSU;39,09972382;-94,57833099
KSU;39,11416626;-94,62722015
L;40,71416855;-74,0063858
LB;32,4608345;-84,98777771
LB;39,96111298;-82,99888611
LEN;25,77388954;-80,1938858
LKQ;41,84999847;-87,65000153
LLL;40,71416855;-74,0063858
LLTC;37,42833328;-121,9055557
LLY;39,76833344;-86,15805817
LMT;38,98055649;-77,10055542
LNT;43,07305527;-89,40110779
LRCX;37,54833221;-121,9875031
LUK;40,71416855;-74,0063858
LUV;32,78333282;-96,80000305
LYB;51,91666794;4,5
M;39,16194534;-84,45694733
MAA;35,14944458;-90,04888916
MAC;34,01944351;-118,4902802
MAR;38,98055649;-77,10055542
MAS;42,24083328;-83,26972198
MCHP;33,30611038;-111,8405533
MCK;37,77500153;-122,418335
MCO;40,71416855;-74,0063858
MDT;53,3330574;-6,248888969
MET;40,71416855;-74,0063858
MKC;39,53499985;-119,7516632
MLM;35,77194595;-78,6388855
MMC;40,71416855;-74,0063858
MNK;53,3330574;-6,248888969
MNST;33,87527847;-117,5655594
MO;37,93583298;-122,3466644
MO;37,55361176;-77,46055603
MOS;45,01055527;-93,45527649
MOS;41,95833206;-70,66777802
MRO;29,7630558;-95,36305237
MS;40,71416855;-74,0063858
MSI;42,03333282;-88,08333588
MTB;42,88639069;-78,8786087
MTD;39,96111298;-82,99888611
MTD;32,4608345;-84,98777771
MYL;52,34999847;4,916666985
NAVI;40,73555374;-74,17277527
NBL;29,7630558;-95,36305237
NDAQ;40,71416855;-74,0063858
NEM;39,73916626;-104,984169
NFX;29,7630558;-95,36305237
NLSN;40,71416855;-74,0063858
NOV;29,7630558;-95,36305237
NSC;36,84666824;-76,28555298
NTAP;37,36888885;-122,0352783
NTRS;41,84999847;-87,65000153
NUE;35,22694397;-80,84333038
NVDA;37,35416794;-121,9541702
NWL;33,92416763;-84,3786087
NWS;40,71416855;-74,0063858
NWSA;40,71416855;-74,0063858
O;32,71527863;-117,1563873
OKE;36,1538887;-95,99250031
OMC;40,71416855;-74,0063858
ORLY;37,21527863;-93,29805756
ORLY;42,10138702;-72,59027863
ORLY;39,80166626;-89,64360809
ORLY;44,04639053;-123,0208359
ORLY;39,92416763;-83,8088913
OXY;34,05222321;-118,242775
PBCT;41,1669426;-73,20527649
PBI;41,05333328;-73,53916931
PCAR;47,61055374;-122,1994476
PCG;37,77500153;-122,418335
PCLN;41,11750031;-73,40833282
PCLN;33,90222168;-118,0808334
PEG;40,73555374;-74,17277527
PFE;40,71416855;-74,0063858
PFG;41,60055542;-93,60888672
PG;39,16194534;-84,45694733
PH;41,49944305;-81,69555664
PHM;33,74888992;-84,38805389
PKI;42,37638855;-71,2361145
PLD;37,77500153;-122,418335
PM;40,71416855;-74,0063858
PNC;40,44055557;-79,99610901
PNW;33,44833374;-112,0733337
PPG;40,44055557;-79,99610901
PPL;40,60833359;-75,49055481
