	geometry	name
108	POINT (19.81888301461521 41.32754070949159)	Tirana
109	POINT (44.51160553175208 40.18309659414189)	Yerevan
110	POINT (49.86027130325778 40.39721789134302)	Baku
111	POINT (104.9146886211864 11.55197598855841)	Phnom Penh
112	POINT (-68.15193104910219 -16.49602775504337)	La Paz
113	POINT (2.518044740568598 6.401954422782467)	Cotonou
114	POINT (23.31470815211009 42.68529528393054)	Sofia
115	POINT (27.56468129665825 53.9019232950431)	Minsk
116	POINT (89.63901403702999 27.47298585917576)	Thimphu
117	POINT (25.91194779328538 -24.64631345743891)	Gaborone
118	POINT (149.1290262442992 -35.28302854537208)	Canberra
119	POINT (-1.526669614916443 12.37226183654337)	Ouagadougou
120	POINT (18.38300166695331 43.85002239895493)	Sarajevo
121	POINT (96.11667267063035 19.76850288475015)	Naypyidaw
122	POINT (-175.2205644776166 -21.13851235669864)	Nukualofa
123	POINT (44.06531001666542 9.56002239881775)	Hargeysa
124	POINT (55.44998978559113 -4.6166316539734)	Victoria
125	POINT (6.733325153234773 0.3334021188329075)	Sao Tome
126	POINT (-171.7386416086032 -13.84154504244844)	Apia
127	POINT (14.51471065131278 35.89973248193087)	Valletta
128	POINT (73.499947467955 4.1667081898118)	Male
129	POINT (35.20662593459866 31.7784078155733)	Jerusalem
130	POINT (-23.51668888497221 14.91669801732866)	Praia
131	POINT (-77.35004378427612 25.08339011535122)	Nassau
132	POINT (33.36663488641415 35.1666764516545)	Nicosia
133	POINT (105.8480683412422 21.03527310773705)	Hanoi
134	POINT (32.86244578235664 39.92918444407547)	Ankara
135	POINT (19.08137481875968 47.50195218499135)	Budapest
136	POINT (44.20464752393843 15.35667915426365)	Sanaa
137	POINT (26.0980007953504 44.43531766349457)	Bucharest
138	POINT (36.29805003041707 33.50197985420613)	Damascus
139	POINT (-9.14681216410213 38.72466873648784)	Lisbon
140	POINT (32.53223338001158 15.59002408427767)	Khartoum
141	POINT (10.74803334737231 59.91863614500187)	Oslo
142	POINT (20.99805369246531 52.25194648839556)	Warsaw
143	POINT (125.7527448549939 39.02138455800434)	Pyongyang
144	POINT (39.26639597769457 -6.798066736124383)	Dar es Salaam
145	POINT (-6.250851540391068 53.33500699458494)	Dublin
146	POINT (-10.79966043677592 6.314581647160139)	Monrovia
147	POINT (101.6980374167464 3.168611730712371)	Kuala Lumpur
148	POINT (-82.3661280299533 23.1339046995422)	Havana
149	POINT (14.46403391704854 50.08528287347832)	Prague
150	POINT (47.97635528762527 29.37166348862957)	Kuwait
151	POINT (-69.90203094331503 18.47201871319538)	Santo Domingo
152	POINT (-0.2186615989606935 5.551980464445933)	Accra
153	POINT (13.18001175807819 32.89250001935369)	Tripoli
154	POINT (24.93218048284558 60.17750923256807)	Helsinki
155	POINT (12.56153988870329 55.68051004902594)	København
156	POINT (-4.041994118507091 5.321942826098564)	Abidjan
157	POINT (-47.91799814700306 -15.78139437287899)	Brasilia
158	POINT (4.33137074969045 50.83526293533032)	Brussels
159	POINT (90.40663360810754 23.72500557031282)	Dhaka
160	POINT (13.23248118266855 -8.836340255012658)	Luanda
161	POINT (3.048606670909237 36.76501065662814)	Algiers
162	POINT (96.16473175266185 16.78529996318878)	Rangoon
163	POINT (-66.91898305105042 10.50294441303333)	Caracas
164	POINT (30.51468211047217 50.43531318760722)	Kiev
165	POINT (69.29298696088779 41.31364774160721)	Tashkent
